config_name,relevance_score__mean,relevance_score__mae,utilization_score__mean,utilization_score__mae,completeness_score__mean,completeness_score__mae,adherence_score__mean,adherence_score__mae
techqa_or_v5_hybrid_rrf,0.1328,0.0991,0.0699,0.0572,0.4225,0.492,0.2632,0.4211
techqa_or_v4_chunk_sentence,0.4377,0.4123,0.1659,0.1647,0.2614,0.6025,0.55,0.4
techqa_or_v7_stepback,0.3685,0.3265,0.1156,0.0965,0.3103,0.5345,0.3158,0.5263
techqa_or_v6_rerank_only,0.412,0.3781,0.1931,0.1778,0.3655,0.5381,0.2,0.45
techqa_or_v2_hybrid_wsum,0.0897,0.0714,0.0431,0.0427,0.3482,0.5476,0.3158,0.4737
techqa_or_v3_embed_bge,0.323,0.2877,0.2001,0.1865,0.4414,0.4802,0.45,0.4
techqa_or_v1_baseline,0.4062,0.3809,0.2216,0.215,0.2921,0.5399,0.5,0.35
techqa_or_v8_best,0.4402,0.3993,0.2203,0.1998,0.4565,0.4468,0.25,0.6
